ds,Total births by sex,Total deaths by sex,Infant mortality rate (IMR),Life expectancy E(x) - complete,Fertility rates by age of mother (1-year),Population by 1-year age groups and sex,Urban population growth (annual %),Refugee population by country or territory of origin,y
1991-01-01,225141.38800974024,173008.05645310576,183.36350169950495,22.044933465375014,144.95680966465568,104335.21428571429,5.031695335379593,246.91836734693877,8200000.0
1992-01-01,284193.5869606684,164388.75572543812,121.72731086904521,21.616396051504996,115.85337730451086,58904.819727891154,5.19045705872789,261.86394557823127,8400000.0
1993-01-01,270596.6047571535,166746.42807978656,137.18719187240166,21.382370457136396,138.45063120592272,161162.0136054422,4.755242347629932,458.16326530612247,8600000.0
1994-01-01,321051.9391451544,159971.59078020105,88.2518559299895,21.34558472226334,168.5612647700713,159359.46258503402,4.6849688630857145,251.80272108843536,8800000.0
1995-01-01,316359.1931144014,160610.99881780887,93.72471212763865,21.705980383631697,181.70092798972308,108436.56462585034,4.902871757164626,234.2721088435374,9000000.0
1996-01-01,316557.48424195504,160494.5864134955,93.83652935333144,25.053393742847987,188.4274392548585,58980.89455782313,4.911206190372789,240.76190476190476,9200000.0
1997-01-01,317058.06362535234,160685.53085651356,93.31870854983362,25.064967550214067,183.7710152045799,185793.72448979592,4.908077165940136,265.38775510204084,9400000.0
1998-01-01,319000.1213073645,160349.3983202709,91.11526682515498,24.734200574737567,180.66678743803465,162311.80272108843,4.811148512333333,449.7959183673469,9600000.0
1999-01-01,322057.87364651135,159764.9407525261,87.52044100895665,24.395219550917496,174.46418245069853,112346.71428571429,4.9877145036503405,263.74149659863946,9800000.0
2000-01-01,324416.8013114621,159255.6747532197,84.62964706935743,24.009327329320605,168.63011464111366,63130.67095104709,4.971575503424525,234.0748299319728,10000000.0
2001-01-01,317180.5013033259,160605.69919558466,92.74042981062044,23.758951217241727,176.98159078948729,108020.24179004935,4.9221738009073475,236.93197278911563,10300000.0
2002-01-01,314693.01941796066,161008.58515365294,95.85880931226741,23.57260427846622,186.69137572450134,116521.06151794051,4.799658096250205,259.36054421768705,10600000.0
2003-01-01,317057.7280126685,160608.1039958081,93.36652841866037,23.545635570983222,186.06129860949736,102310.32342270241,5.1830002256012255,252.87755102040816,10900000.0
2004-01-01,319575.7125248213,160176.44323067856,90.5884076955505,23.633396795473022,183.29443272543355,75691.95607576364,5.1975468587835385,462.0408163265306,11200000.0
2005-01-01,320277.92796348565,160203.92531345744,89.6492620619191,26.742735570983225,176.88550249739575,117453.84042950514,4.906458484799865,242.48299319727892,11500000.0
2006-01-01,322887.51883212593,159699.41482028365,86.42097819234901,27.066976387309754,168.86594130114102,119073.58192610378,4.796247348422995,235.44897959183675,11800000.0
2007-01-01,320104.4234656347,160056.93216680235,89.409115284189,26.705524686629484,172.57029362498025,102951.86764038948,4.717888104504627,251.3469387755102,12100000.0
2008-01-01,315463.89930806827,160757.86827161355,94.86842391242199,26.365248496153292,185.27391474102868,69171.8540349473,5.00916418281347,259.0,12400000.0
